Customer_ID,Customer_Name,Gender,Age_Group,Country,Customer_Segment
C0215,Customer 215,Female,26-35,India,Regular
C0216,Customer 216,Female,26-35,Australia,Premium
C0217,Customer 217,Female,26-35,Germany,New
C0218,Customer 218,Female,26-35,UK,New
C0219,Customer 219,Female,26-35,UK,Regular
C0220,Customer 220,Male,26-35,UAE,Regular
C0221,Customer 221,Male,26-35,UAE,Regular
C0222,Customer 222,Male,46+,UK,New
C0223,Customer 223,Male,26-35,UAE,New
C0224,Customer 224,Male,18-25,Australia,Regular
C0225,Customer 225,Female,18-25,UAE,Regular
C0226,Customer 226,Female,36-45,Australia,Premium
C0227,Customer 227,Female,18-25,India,Premium
C0228,Customer 228,Female,26-35,Australia,Regular
C0229,Customer 229,Male,36-45,India,Regular
C0230,Customer 230,Female,18-25,UK,New
C0231,Customer 231,Female,18-25,India,Regular
C0232,Customer 232,Male,36-45,Australia,Regular
C0233,Customer 233,Male,36-45,India,Premium
C0234,Customer 234,Female,46+,UAE,Premium
C0235,Customer 235,Male,18-25,USA,New
C0236,Customer 236,Male,26-35,USA,Premium
C0237,Customer 237,Female,18-25,India,New
C0238,Customer 238,Male,36-45,India,New
C0239,Customer 239,Female,26-35,Australia,Premium
C0240,Customer 240,Female,18-25,Australia,Regular
C0241,Customer 241,Female,18-25,Germany,New
C0242,Customer 242,Female,18-25,India,Regular
C0243,Customer 243,Male,26-35,USA,New
C0244,Customer 244,Female,46+,USA,New
C0245,Customer 245,Male,46+,Australia,Premium
C0246,Customer 246,Male,46+,India,Regular
C0247,Customer 247,Female,46+,USA,Regular
C0248,Customer 248,Female,36-45,Germany,Premium
C0249,Customer 249,Male,36-45,UAE,Premium
C0250,Customer 250,Female,26-35,Germany,New
C0251,Customer 251,Male,36-45,India,Regular
C0252,Customer 252,Male,36-45,Germany,Regular
C0253,Customer 253,Male,26-35,USA,New
C0254,Customer 254,Female,46+,Australia,Regular
C0255,Customer 255,Male,18-25,Australia,New
C0256,Customer 256,Female,18-25,UAE,Regular
C0257,Customer 257,Male,18-25,Germany,New
C0258,Customer 258,Male,36-45,India,New
C0259,Customer 259,Male,18-25,India,Regular
C0260,Customer 260,Female,18-25,Germany,Regular
C0261,Customer 261,Male,46+,India,Regular
C0262,Customer 262,Female,46+,UAE,Regular
C0263,Customer 263,Male,18-25,Australia,Regular
C0264,Customer 264,Female,26-35,Australia,Regular
C0265,Customer 265,Female,46+,UAE,Regular
C0266,Customer 266,Female,46+,UK,Regular
C0267,Customer 267,Female,26-35,USA,New
C0268,Customer 268,Female,46+,India,Regular
C0269,Customer 269,Male,26-35,UK,Premium
C0270,Customer 270,Female,36-45,UK,Regular
C0271,Customer 271,Male,36-45,India,Premium
C0272,Customer 272,Male,18-25,UAE,Regular
C0273,Customer 273,Female,18-25,UAE,Premium
C0274,Customer 274,Female,36-45,Australia,Regular
C0275,Customer 275,Male,26-35,Germany,Regular
C0276,Customer 276,Female,26-35,Australia,Regular
C0277,Customer 277,Female,18-25,Australia,New
C0278,Customer 278,Female,36-45,Australia,Premium
C0279,Customer 279,Male,46+,India,Regular
C0280,Customer 280,Male,46+,Germany,New
C0281,Customer 281,Male,46+,UK,Premium
C0282,Customer 282,Male,46+,Germany,Premium
C0283,Customer 283,Female,36-45,UK,Regular
C0284,Customer 284,Female,36-45,India,Regular
C0285,Customer 285,Female,46+,Germany,Regular
C0286,Customer 286,Female,26-35,Germany,Regular
C0287,Customer 287,Male,18-25,UK,Regular
C0288,Customer 288,Male,36-45,USA,Regular
C0289,Customer 289,Male,18-25,India,Premium
C0290,Customer 290,Female,36-45,UAE,Regular
C0291,Customer 291,Female,46+,Germany,Regular
C0292,Customer 292,Male,36-45,Germany,Regular
C0293,Customer 293,Male,26-35,India,Premium
C0294,Customer 294,Female,26-35,USA,Regular
C0295,Customer 295,Female,46+,Germany,Premium
C0296,Customer 296,Female,18-25,USA,Regular
C0297,Customer 297,Female,18-25,UK,Regular
C0298,Customer 298,Male,36-45,Australia,Regular
C0299,Customer 299,Female,26-35,UAE,Regular
C0300,Customer 300,Male,26-35,Germany,Regular
C0301,Customer 301,Male,36-45,UAE,New
C0302,Customer 302,Male,46+,India,Premium
C0303,Customer 303,Female,18-25,UK,Regular
C0304,Customer 304,Male,18-25,Australia,Regular
C0305,Customer 305,Male,46+,UAE,New
C0306,Customer 306,Male,26-35,Germany,Regular
C0307,Customer 307,Male,26-35,UAE,Regular
C0308,Customer 308,Male,18-25,India,Regular
C0309,Customer 309,Female,46+,UAE,New
C0310,Customer 310,Male,18-25,Australia,Regular
C0311,Customer 311,Female,26-35,Australia,Regular
C0312,Customer 312,Female,26-35,India,New
C0313,Customer 313,Male,18-25,UK,Regular
C0314,Customer 314,Female,18-25,India,New
C0315,Customer 315,Female,18-25,Germany,New
C0316,Customer 316,Male,26-35,USA,New
C0317,Customer 317,Male,36-45,India,New
C0318,Customer 318,Female,36-45,Germany,Premium
C0319,Customer 319,Female,18-25,USA,Regular
C0320,Customer 320,Male,46+,UK,Regular
C0321,Customer 321,Female,18-25,USA,Regular
C0322,Customer 322,Male,36-45,Germany,New
C0323,Customer 323,Female,46+,UAE,New
C0324,Customer 324,Female,46+,UK,Regular
C0325,Customer 325,Male,18-25,Germany,Regular
C0326,Customer 326,Female,26-35,Germany,Premium
C0327,Customer 327,Female,36-45,USA,New
C0328,Customer 328,Female,18-25,UK,Regular
C0329,Customer 329,Male,26-35,India,Premium
C0330,Customer 330,Male,46+,Germany,New
C0331,Customer 331,Male,26-35,UK,Premium
C0332,Customer 332,Female,46+,Australia,Regular
C0333,Customer 333,Male,36-45,Germany,Premium
C0334,Customer 334,Male,46+,Australia,Regular
C0335,Customer 335,Female,46+,UAE,New
C0336,Customer 336,Male,46+,UAE,Premium
C0337,Customer 337,Male,18-25,Australia,Regular
C0338,Customer 338,Female,46+,India,Regular
C0339,Customer 339,Male,36-45,India,Regular
C0340,Customer 340,Male,26-35,USA,Regular
C0341,Customer 341,Male,18-25,UAE,Regular
C0342,Customer 342,Female,26-35,India,Premium
C0343,Customer 343,Male,26-35,UK,Regular
C0344,Customer 344,Female,36-45,UK,New
C0345,Customer 345,Female,26-35,UK,Regular
C0346,Customer 346,Female,36-45,Germany,New
C0347,Customer 347,Female,26-35,Germany,New
C0348,Customer 348,Male,26-35,UK,Regular
C0349,Customer 349,Male,18-25,Germany,New
C0350,Customer 350,Male,46+,USA,New
C0351,Customer 351,Male,46+,Australia,Regular
C0352,Customer 352,Female,26-35,UAE,New
C0353,Customer 353,Female,36-45,Germany,Premium
C0354,Customer 354,Female,18-25,India,Regular
C0355,Customer 355,Female,18-25,UAE,Premium
C0356,Customer 356,Male,26-35,Australia,Regular
C0357,Customer 357,Female,26-35,UK,New
C0358,Customer 358,Male,46+,Australia,Regular
C0359,Customer 359,Male,36-45,UAE,Regular
C0360,Customer 360,Female,46+,UK,New
C0361,Customer 361,Female,18-25,Australia,Regular
C0362,Customer 362,Female,26-35,Germany,Regular
C0363,Customer 363,Male,36-45,USA,Regular
C0364,Customer 364,Male,36-45,USA,Regular
C0365,Customer 365,Male,36-45,UK,Premium
C0366,Customer 366,Male,36-45,USA,Regular
C0367,Customer 367,Female,46+,USA,New
C0368,Customer 368,Male,46+,USA,Regular
C0369,Customer 369,Female,36-45,USA,Premium
C0370,Customer 370,Male,26-35,UK,Premium
C0371,Customer 371,Male,46+,USA,Regular
C0372,Customer 372,Male,46+,Germany,Regular
C0373,Customer 373,Male,36-45,India,Premium
C0374,Customer 374,Male,18-25,India,Regular
C0375,Customer 375,Female,26-35,India,Premium
C0376,Customer 376,Female,18-25,USA,Regular
C0377,Customer 377,Female,36-45,UK,Regular
C0378,Customer 378,Male,18-25,India,New
C0379,Customer 379,Female,18-25,Australia,Regular
C0380,Customer 380,Female,18-25,Australia,Regular
C0381,Customer 381,Female,46+,USA,Regular
C0382,Customer 382,Female,18-25,UK,Regular
C0383,Customer 383,Female,36-45,Australia,Premium
C0384,Customer 384,Male,18-25,India,New
C0385,Customer 385,Male,36-45,UK,Regular
C0386,Customer 386,Male,18-25,Australia,New
C0387,Customer 387,Female,46+,USA,Premium
C0388,Customer 388,Female,36-45,USA,Regular
C0389,Customer 389,Female,36-45,USA,Regular
C0390,Customer 390,Male,46+,India,New
C0391,Customer 391,Female,46+,Germany,Premium
C0392,Customer 392,Female,18-25,USA,Regular
C0393,Customer 393,Male,26-35,Germany,Regular
C0394,Customer 394,Female,18-25,India,Regular
C0395,Customer 395,Female,26-35,USA,Premium
C0396,Customer 396,Male,18-25,UAE,Regular
C0397,Customer 397,Female,26-35,UK,Premium
C0398,Customer 398,Male,46+,UK,New
C0399,Customer 399,Male,26-35,Australia,New
C0400,Customer 400,Female,18-25,Germany,New
C0401,Customer 401,Female,26-35,Germany,Premium
C0402,Customer 402,Female,46+,Germany,New
C0403,Customer 403,Male,46+,UAE,Premium
C0404,Customer 404,Male,36-45,UAE,Regular
C0405,Customer 405,Female,36-45,Germany,Regular
C0406,Customer 406,Male,36-45,UK,Regular
C0407,Customer 407,Male,26-35,USA,Regular
C0408,Customer 408,Female,18-25,USA,Regular
C0409,Customer 409,Female,46+,UK,Regular
C0410,Customer 410,Female,46+,UK,Regular
C0411,Customer 411,Male,26-35,UAE,New
C0412,Customer 412,Male,36-45,Australia,Regular
C0413,Customer 413,Female,46+,USA,New
C0414,Customer 414,Male,18-25,Australia,Regular
C0415,Customer 415,Male,46+,Australia,Regular
C0416,Customer 416,Female,26-35,UAE,New
C0417,Customer 417,Male,18-25,Germany,Regular
C0418,Customer 418,Female,26-35,USA,Premium
C0419,Customer 419,Male,26-35,UK,Regular
C0420,Customer 420,Male,46+,USA,Regular
C0421,Customer 421,Male,18-25,Australia,New
C0422,Customer 422,Male,46+,UK,Regular
C0423,Customer 423,Male,46+,India,New
C0424,Customer 424,Male,18-25,Australia,Regular
C0425,Customer 425,Male,36-45,Australia,Premium
C0426,Customer 426,Male,36-45,India,Premium
C0427,Customer 427,Female,46+,India,New
C0428,Customer 428,Female,18-25,UK,Premium
C0429,Customer 429,Male,18-25,Australia,Regular
C0430,Customer 430,Female,26-35,Australia,New
C0431,Customer 431,Female,18-25,India,Regular
C0432,Customer 432,Male,36-45,USA,Regular
C0433,Customer 433,Female,46+,USA,New
C0434,Customer 434,Female,36-45,Germany,Regular
C0435,Customer 435,Female,26-35,Germany,New
C0436,Customer 436,Male,18-25,India,Regular
C0437,Customer 437,Female,46+,USA,New
C0438,Customer 438,Female,46+,USA,Regular
C0439,Customer 439,Male,36-45,UK,Premium
C0440,Customer 440,Female,26-35,UAE,Regular
C0441,Customer 441,Male,26-35,UK,Regular
C0442,Customer 442,Female,46+,Germany,Regular
C0443,Customer 443,Female,18-25,UK,Premium
C0444,Customer 444,Female,26-35,India,Regular
C0445,Customer 445,Male,26-35,Australia,New
C0446,Customer 446,Female,46+,UK,Regular
C0447,Customer 447,Female,36-45,UAE,New
C0448,Customer 448,Male,18-25,UAE,Regular
C0449,Customer 449,Male,26-35,Germany,Premium
C0450,Customer 450,Male,36-45,UK,Regular
C0451,Customer 451,Male,26-35,Australia,Regular
C0452,Customer 452,Female,36-45,UAE,New
C0453,Customer 453,Male,36-45,UAE,Premium
C0454,Customer 454,Female,18-25,Australia,Regular
C0455,Customer 455,Female,46+,UAE,Regular
C0456,Customer 456,Male,26-35,UK,Regular
C0457,Customer 457,Male,18-25,Australia,New
C0458,Customer 458,Female,46+,UAE,Regular
C0459,Customer 459,Male,18-25,USA,Regular
C0460,Customer 460,Female,36-45,Australia,Regular
C0461,Customer 461,Female,18-25,USA,Regular
C0462,Customer 462,Male,26-35,UK,Regular
C0463,Customer 463,Female,36-45,Australia,Regular
C0464,Customer 464,Male,46+,UK,Regular
C0465,Customer 465,Female,36-45,UAE,Premium
C0466,Customer 466,Male,36-45,USA,New
C0467,Customer 467,Male,18-25,Germany,Regular
C0468,Customer 468,Female,18-25,USA,Regular
C0469,Customer 469,Male,26-35,UAE,New
C0470,Customer 470,Male,36-45,Australia,New
C0471,Customer 471,Male,36-45,UAE,New
C0472,Customer 472,Male,36-45,India,Regular
C0473,Customer 473,Female,18-25,Australia,New
C0474,Customer 474,Female,26-35,India,Regular
C0475,Customer 475,Male,18-25,Australia,Premium
C0476,Customer 476,Female,46+,UK,Regular
C0477,Customer 477,Male,18-25,UK,Premium
C0478,Customer 478,Female,18-25,Germany,Regular
C0479,Customer 479,Female,26-35,India,Regular
C0480,Customer 480,Male,26-35,UAE,New
C0481,Customer 481,Male,36-45,UK,Regular
C0482,Customer 482,Male,36-45,USA,Regular
C0483,Customer 483,Female,46+,India,Regular
C0484,Customer 484,Female,46+,UAE,Regular
C0485,Customer 485,Female,26-35,UK,Regular
C0486,Customer 486,Female,18-25,Australia,New
C0487,Customer 487,Female,26-35,Australia,Premium
C0488,Customer 488,Male,18-25,UAE,New
C0489,Customer 489,Male,26-35,UAE,New
C0490,Customer 490,Female,36-45,Australia,Regular
C0491,Customer 491,Male,26-35,UAE,New
C0492,Customer 492,Male,46+,Germany,New
C0493,Customer 493,Female,46+,Germany,New
C0494,Customer 494,Male,18-25,Australia,New
C0495,Customer 495,Male,46+,Australia,Regular
C0496,Customer 496,Male,26-35,UAE,Premium
C0497,Customer 497,Female,26-35,India,Regular
C0498,Customer 498,Female,46+,USA,Regular
C0499,Customer 499,Male,36-45,Germany,New
C0500,Customer 500,Female,46+,USA,Regular
C0501,Customer 501,Male,46+,UK,Premium
C0502,Customer 502,Male,36-45,UK,Premium
C0503,Customer 503,Male,46+,USA,New
C0504,Customer 504,Female,26-35,UAE,New
C0505,Customer 505,Male,36-45,India,New
C0506,Customer 506,Female,26-35,Germany,Regular
C0507,Customer 507,Female,18-25,India,Premium
C0508,Customer 508,Male,26-35,UK,New
C0509,Customer 509,Female,18-25,USA,New
C0510,Customer 510,Female,18-25,Germany,Regular
C0511,Customer 511,Female,36-45,India,Regular
C0512,Customer 512,Male,18-25,India,Regular
C0513,Customer 513,Male,46+,Australia,New
C0514,Customer 514,Male,18-25,UK,New
C0515,Customer 515,Male,18-25,Germany,New
C0516,Customer 516,Female,18-25,USA,Premium
C0517,Customer 517,Male,18-25,UAE,New
C0518,Customer 518,Female,18-25,UK,Regular
C0519,Customer 519,Male,18-25,UK,Premium
C0520,Customer 520,Male,36-45,UK,Regular
C0521,Customer 521,Male,26-35,UAE,New
C0522,Customer 522,Female,36-45,India,New
C0523,Customer 523,Male,46+,UAE,Regular
C0524,Customer 524,Female,46+,Australia,Regular
C0525,Customer 525,Female,46+,UK,Regular
C0526,Customer 526,Female,26-35,Germany,Regular
C0527,Customer 527,Female,26-35,Australia,Regular
C0528,Customer 528,Female,46+,USA,New
C0529,Customer 529,Male,18-25,UAE,Premium
C0530,Customer 530,Male,46+,Australia,Regular
C0531,Customer 531,Female,36-45,Germany,Regular
C0532,Customer 532,Male,46+,Australia,Premium
C0533,Customer 533,Female,36-45,UAE,Regular
C0534,Customer 534,Female,26-35,Australia,Regular
C0535,Customer 535,Female,36-45,Australia,Regular
C0536,Customer 536,Female,36-45,India,New
C0537,Customer 537,Male,36-45,UK,Regular
C0538,Customer 538,Female,36-45,UAE,Premium
C0539,Customer 539,Male,26-35,India,Regular
C0540,Customer 540,Female,26-35,UAE,Premium
C0541,Customer 541,Female,26-35,Australia,New
C0542,Customer 542,Female,26-35,Australia,New
C0543,Customer 543,Male,36-45,Germany,Premium
C0544,Customer 544,Female,18-25,Germany,Regular
C0545,Customer 545,Female,46+,India,New
C0546,Customer 546,Female,46+,Australia,Regular
C0547,Customer 547,Female,36-45,Germany,New
C0548,Customer 548,Female,46+,Australia,Regular
C0549,Customer 549,Male,18-25,Australia,Regular
C0550,Customer 550,Female,26-35,UAE,New
C0551,Customer 551,Female,46+,UK,Regular
C0552,Customer 552,Male,18-25,UAE,New
C0553,Customer 553,Male,36-45,Australia,Regular
C0554,Customer 554,Female,36-45,USA,Regular
C0555,Customer 555,Female,18-25,UAE,Regular
C0556,Customer 556,Male,26-35,USA,Regular
C0557,Customer 557,Female,36-45,India,Regular
C0558,Customer 558,Female,36-45,India,Regular
C0559,Customer 559,Female,46+,Germany,Regular
C0560,Customer 560,Female,36-45,USA,Regular
C0561,Customer 561,Male,26-35,Australia,Regular
C0562,Customer 562,Male,26-35,UK,Regular
C0563,Customer 563,Male,46+,Germany,Premium
C0564,Customer 564,Female,46+,Australia,Regular
C0565,Customer 565,Male,18-25,UAE,Regular
C0566,Customer 566,Female,46+,Germany,Regular
C0567,Customer 567,Male,18-25,Germany,Premium
C0568,Customer 568,Male,18-25,Australia,Regular
C0569,Customer 569,Male,46+,UAE,New
C0570,Customer 570,Female,36-45,Germany,New
C0571,Customer 571,Male,18-25,USA,Regular
C0572,Customer 572,Male,18-25,Germany,Premium
C0573,Customer 573,Male,46+,India,New
C0574,Customer 574,Male,36-45,Germany,Premium
C0575,Customer 575,Female,26-35,Germany,Premium
C0576,Customer 576,Male,36-45,UK,Premium
C0577,Customer 577,Male,26-35,UAE,New
C0578,Customer 578,Female,18-25,UK,Regular
C0579,Customer 579,Female,46+,UAE,Regular
C0580,Customer 580,Male,36-45,UK,Premium
C0581,Customer 581,Female,46+,UAE,New
C0582,Customer 582,Male,26-35,India,Regular
C0583,Customer 583,Female,46+,Australia,New
C0584,Customer 584,Male,36-45,UK,Regular
C0585,Customer 585,Male,36-45,India,New
C0586,Customer 586,Female,36-45,India,Regular
C0587,Customer 587,Female,36-45,USA,Regular
C0588,Customer 588,Female,46+,Australia,Regular
C0589,Customer 589,Male,18-25,USA,Regular
C0590,Customer 590,Male,18-25,USA,Regular
