Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Quantity,Unit_Price,Discount_%,Revenue,Profit
O00055,2024-06-29,C0538,P059,S031,1,40.8,20,32.64,6.31
O00056,2025-03-07,C2821,P166,S036,2,304.0,0,608.0,273.6
O00057,2024-10-27,C0529,P072,S011,2,71.0,0,142.0,37.11
O00058,2025-03-08,C2031,P040,S004,4,176.4,5,670.32,122.16
O00059,2025-01-11,C0929,P120,S032,5,187.2,20,748.8,228.88
O00060,2025-08-06,C1649,P036,S031,3,60.0,15,153.0,34.06
O00061,2024-08-10,C1292,P147,S012,3,88.8,15,226.44,62.32
O00062,2024-04-30,C2928,P104,S007,2,38.0,0,76.0,24.4
O00063,2025-07-07,C0897,P059,S022,1,34.0,0,34.0,6.71
O00064,2024-12-26,C0621,P019,S031,4,108.0,10,388.8,86.41
O00065,2024-08-21,C2494,P156,S010,2,80.4,15,136.68,42.64
O00066,2025-06-08,C1454,P169,S021,5,55.2,10,248.4,74.89
O00067,2025-02-28,C1339,P177,S006,5,151.2,20,604.8,126.17
O00068,2024-08-27,C2107,P155,S001,4,532.0,20,1702.4,766.08
O00069,2025-03-12,C1235,P033,S032,2,116.0,10,208.8,54.42
O00070,2025-01-24,C0600,P090,S024,2,251.0,10,451.8,203.31
O00071,2025-08-30,C1034,P151,S020,3,116.0,0,348.0,114.81
O00072,2025-10-25,C0159,P069,S036,5,94.0,15,399.5,115.31
O00073,2025-03-11,C1205,P005,S032,5,183.6,5,872.1,226.28
O00074,2025-11-11,C2517,P056,S015,3,47.0,15,119.85,21.92
O00075,2024-12-03,C0080,P071,S014,5,123.0,10,553.5,140.47
O00076,2025-12-29,C1393,P155,S004,1,532.0,0,532.0,239.4
O00077,2024-08-02,C0616,P165,S035,5,139.0,20,556.0,116.94
O00078,2024-11-17,C0826,P037,S006,4,154.8,10,557.28,141.61
O00079,2025-07-04,C1017,P006,S004,5,127.0,15,539.75,156.67
O00080,2025-09-26,C0527,P146,S035,1,104.4,5,99.18,26.86
O00081,2024-09-19,C1644,P095,S032,3,102.0,15,260.1,55.41
O00082,2024-10-01,C1643,P007,S003,1,76.8,10,69.12,20.39
O00083,2025-02-10,C2914,P173,S009,5,98.0,15,416.5,118.87
O00084,2024-02-06,C0088,P051,S033,3,129.0,20,309.6,69.39
O00085,2024-11-05,C0511,P100,S036,2,288.0,10,518.4,233.28
O00086,2025-10-12,C1544,P063,S017,4,112.0,10,403.2,97.08
O00087,2025-08-30,C1983,P151,S005,2,116.0,20,185.6,53.16
O00088,2024-04-20,C1214,P117,S018,5,42.0,15,178.5,39.58
O00089,2025-03-14,C0073,P159,S008,4,75.0,20,240.0,65.6
O00090,2024-03-20,C0359,P054,S024,2,126.0,5,239.4,75.49
O00091,2024-06-15,C2563,P148,S032,4,161.0,5,611.8,135.82
O00092,2024-03-26,C0171,P130,S019,1,69.0,20,55.2,16.65
O00093,2025-04-20,C2336,P137,S004,5,43.2,10,194.4,53.34
O00094,2024-03-08,C2247,P127,S007,2,348.0,20,556.8,250.56
O00095,2025-05-29,C1769,P166,S023,4,304.0,5,1155.2,519.84
O00096,2025-06-02,C0137,P109,S015,3,167.0,5,475.95,144.53
O00097,2024-07-09,C0304,P047,S016,5,89.0,5,422.75,93.92
O00098,2025-11-05,C2778,P154,S005,1,131.0,0,131.0,26.71
O00099,2024-04-20,C2565,P158,S002,2,497.0,0,994.0,447.3
O00100,2025-09-03,C0010,P121,S001,1,71.0,20,56.8,17.28
O00101,2025-05-25,C1668,P021,S004,2,70.0,0,140.0,26.32
O00102,2024-11-25,C0429,P009,S003,2,115.2,5,218.88,69.74
O00103,2025-10-09,C0228,P050,S009,3,90.0,5,256.5,77.14
O00104,2024-07-20,C0585,P107,S002,5,82.0,10,369.0,128.86
O00105,2025-07-16,C2394,P132,S025,1,378.0,15,321.3,144.58
O00106,2025-02-12,C2228,P022,S022,1,50.4,10,45.36,12.38
O00107,2025-12-23,C2442,P159,S032,2,75.0,0,150.0,36.77
O00108,2025-01-24,C1876,P102,S030,2,146.0,0,292.0,87.25
O00109,2025-04-30,C2799,P021,S004,2,70.0,5,133.0,39.92
O00110,2024-05-23,C0287,P082,S019,2,346.8,20,554.88,249.7
O00111,2025-08-28,C0848,P018,S033,3,44.0,0,132.0,38.88
O00112,2024-08-22,C0808,P180,S018,2,43.0,15,73.1,19.4
O00113,2024-09-02,C0039,P122,S007,2,62.4,20,99.84,19.79
O00114,2025-08-13,C2269,P139,S013,4,134.4,20,430.08,138.31
O00115,2024-08-03,C2045,P140,S033,1,102.0,20,81.6,24.42
O00116,2025-04-23,C0883,P087,S032,3,387.0,0,1161.0,522.45
O00117,2024-02-25,C2612,P003,S025,2,38.0,5,72.2,19.09
O00118,2025-03-28,C1247,P089,S005,2,84.0,5,159.6,36.88
O00119,2025-01-12,C1931,P136,S014,3,55.0,20,132.0,26.13
O00120,2025-10-21,C1843,P144,S009,4,369.0,0,1476.0,664.2
O00121,2025-08-21,C0237,P097,S020,2,61.0,15,103.7,32.72
O00122,2024-07-03,C1908,P163,S022,2,91.2,20,145.92,43.19
O00123,2025-10-30,C0159,P142,S027,4,62.0,0,248.0,69.5
O00124,2024-12-06,C1916,P154,S016,4,131.0,20,419.2,106.28
O00125,2025-04-21,C1086,P102,S012,4,146.0,15,496.4,149.88
O00126,2024-08-19,C1486,P085,S034,2,160.8,10,289.44,87.65
O00127,2025-02-12,C0529,P156,S009,4,67.0,10,241.2,78.98
O00128,2025-02-18,C1837,P149,S032,2,130.0,0,260.0,67.38
O00129,2024-09-21,C0280,P013,S009,4,79.2,15,269.28,57.74
O00130,2025-08-11,C0210,P089,S002,4,100.8,20,322.56,78.07
O00131,2025-11-15,C0201,P133,S031,1,168.0,15,142.8,41.45
O00132,2025-04-25,C0782,P085,S015,4,134.0,10,482.4,139.68
O00133,2025-11-27,C2724,P175,S016,5,96.0,15,408.0,81.33
O00134,2025-05-30,C1250,P122,S031,1,52.0,10,46.8,9.71
O00135,2024-05-15,C0798,P089,S006,2,84.0,10,151.2,34.83
O00136,2024-10-04,C2687,P091,S036,4,463.0,5,1759.4,791.73
O00137,2024-10-24,C1391,P118,S025,5,49.0,20,196.0,40.55
O00138,2024-11-10,C2696,P124,S017,2,54.0,0,108.0,31.97
O00139,2024-10-02,C2117,P122,S013,5,52.0,0,260.0,73.9
O00140,2025-02-07,C2226,P052,S001,1,44.0,10,39.6,10.19
O00141,2025-04-11,C1644,P047,S013,3,106.8,5,304.38,91.27
O00142,2025-09-21,C0640,P067,S032,4,162.0,10,583.2,188.41
O00143,2024-04-15,C2083,P076,S010,1,78.0,15,66.3,15.3
O00144,2024-07-21,C1846,P111,S010,2,74.0,20,118.4,28.42
O00145,2024-05-01,C0142,P127,S035,4,348.0,5,1322.4,595.08
O00146,2024-01-02,C0476,P013,S032,3,66.0,5,188.1,54.54
O00147,2025-06-08,C0396,P064,S005,2,87.6,0,175.2,54.7
O00148,2024-11-24,C0709,P034,S032,1,43.0,5,40.85,9.44
O00149,2024-07-13,C0194,P079,S012,5,83.0,10,373.5,71.41
O00150,2024-11-16,C0197,P070,S017,4,91.0,5,345.8,79.91
O00151,2025-10-12,C2746,P118,S028,2,49.0,0,98.0,32.94
O00152,2025-01-23,C0561,P031,S029,5,100.0,0,500.0,113.04
O00153,2025-09-07,C2527,P013,S001,4,79.2,0,316.8,88.55
O00154,2024-08-18,C2575,P036,S004,3,60.0,15,153.0,45.83
O00155,2025-10-13,C2383,P160,S013,2,71.0,0,142.0,31.72
O00156,2025-07-21,C1369,P025,S021,4,87.6,10,315.36,94.02
O00157,2025-10-05,C2375,P063,S035,2,112.0,15,190.4,47.67
O00158,2024-04-22,C1421,P076,S012,2,78.0,0,156.0,39.81
O00159,2024-10-20,C1368,P075,S025,1,75.0,0,75.0,18.96
O00160,2025-03-08,C1799,P067,S031,5,135.0,15,573.75,189.54
O00161,2024-12-02,C2331,P024,S030,2,89.0,20,142.4,41.45
O00162,2024-02-18,C2945,P063,S006,5,134.4,5,638.4,138.69
O00163,2025-06-21,C2270,P058,S005,4,62.0,10,223.2,51.39
O00164,2025-09-03,C0953,P071,S015,2,147.6,20,236.16,49.19
O00165,2024-11-30,C1596,P006,S017,5,127.0,5,603.25,132.46
O00166,2024-08-28,C0163,P116,S021,5,79.0,15,335.75,104.53
O00167,2024-11-24,C0552,P010,S017,3,39.0,0,117.0,33.49
O00168,2025-05-02,C1741,P007,S005,3,64.0,10,172.8,54.5
O00169,2025-04-28,C0576,P099,S004,1,121.0,15,102.85,22.62
O00170,2024-04-28,C0206,P029,S019,4,126.0,5,478.8,100.13
O00171,2025-01-26,C2694,P095,S001,2,85.0,20,136.0,24.89
O00172,2025-08-31,C0584,P137,S008,5,36.0,10,162.0,29.99
O00173,2024-04-13,C0870,P115,S019,2,50.0,20,80.0,20.76
O00174,2024-02-01,C1906,P042,S020,3,77.0,5,219.45,69.32
O00175,2024-03-01,C2317,P110,S008,3,81.0,5,230.85,75.62
O00176,2025-09-27,C0679,P076,S031,5,78.0,20,312.0,59.62
O00177,2025-10-27,C1316,P166,S020,2,364.8,0,729.6,328.32
O00178,2024-03-01,C2439,P140,S008,3,85.0,15,216.75,66.27
O00179,2025-12-08,C0974,P151,S004,1,139.2,0,139.2,34.55
O00180,2024-01-25,C2107,P031,S025,4,100.0,10,360.0,105.04
O00181,2025-12-17,C0334,P028,S003,2,98.0,0,196.0,64.24
O00182,2025-03-04,C0883,P142,S013,3,62.0,20,148.8,40.29
O00183,2024-01-17,C1996,P175,S031,1,80.0,20,64.0,20.18
O00184,2025-11-30,C1320,P026,S024,2,72.0,10,129.6,32.34
O00185,2024-04-04,C2117,P066,S023,5,151.2,20,604.8,137.49
O00186,2024-07-11,C2469,P043,S026,1,63.0,15,53.55,16.81
O00187,2025-11-25,C1694,P116,S034,5,79.0,5,375.25,108.42
O00188,2025-05-27,C2814,P166,S031,2,304.0,5,577.6,259.92
O00189,2024-02-17,C2436,P174,S035,2,93.0,0,186.0,47.99
O00190,2024-11-21,C0021,P130,S006,3,69.0,20,165.6,32.34
O00191,2025-04-12,C0787,P148,S034,2,161.0,5,305.9,100.42
O00192,2024-10-19,C2656,P047,S006,5,89.0,15,378.25,112.91
O00193,2024-11-12,C0053,P023,S028,3,302.0,15,770.1,346.54
O00194,2024-10-02,C0849,P150,S032,4,75.0,10,270.0,61.99
O00195,2025-09-04,C0431,P147,S030,2,88.8,10,159.84,37.62
O00196,2024-07-13,C0440,P117,S035,5,35.0,10,157.5,37.13
O00197,2024-03-01,C0947,P142,S004,2,62.0,15,105.4,31.25
O00198,2025-12-22,C0691,P062,S017,3,112.0,15,285.6,74.96
O00199,2024-08-30,C0255,P132,S007,4,378.0,10,1360.8,612.36
O00200,2025-04-01,C2458,P069,S016,3,112.8,5,321.48,77.46
O00201,2025-05-10,C2969,P176,S002,4,53.0,10,190.8,53.93
O00202,2024-03-22,C0831,P178,S021,2,64.0,20,102.4,22.62
O00203,2024-05-05,C2380,P008,S013,3,410.4,5,1169.64,526.34
O00204,2025-04-05,C1277,P030,S034,5,151.0,10,679.5,190.51
O00205,2025-04-03,C1943,P069,S009,4,112.8,15,383.52,115.43
O00206,2025-08-13,C0635,P044,S015,3,84.0,10,226.8,71.77
O00207,2024-06-12,C0287,P172,S033,5,86.0,0,430.0,127.45
O00208,2025-06-14,C0737,P103,S012,3,92.4,15,235.62,45.27
O00209,2025-01-16,C2577,P082,S018,4,289.0,5,1098.2,494.19
O00210,2024-09-02,C1327,P051,S028,3,129.0,20,309.6,103.84
O00211,2025-12-15,C1303,P159,S003,4,75.0,5,285.0,72.58
O00212,2025-10-05,C2439,P139,S018,3,112.0,0,336.0,70.93
O00213,2025-07-15,C0409,P134,S012,1,121.0,5,114.95,28.47
O00214,2025-08-27,C0533,P171,S023,5,114.0,20,456.0,137.54
O00215,2025-01-05,C0600,P093,S032,2,46.0,15,78.2,14.44
O00216,2024-10-04,C1754,P039,S018,2,703.2,20,1125.12,506.3
O00217,2025-01-29,C1259,P165,S024,3,139.0,5,396.15,135.01
O00218,2025-10-10,C1947,P075,S006,1,75.0,0,75.0,17.83
O00219,2024-01-06,C1265,P009,S036,2,96.0,15,163.2,51.45
O00220,2025-03-15,C0356,P134,S017,5,121.0,10,544.5,124.43
O00221,2024-07-28,C2743,P158,S032,5,497.0,15,2112.25,950.51
O00222,2025-01-30,C1605,P049,S009,5,120.0,15,510.0,94.09
O00223,2024-11-01,C1973,P097,S035,3,61.0,20,146.4,30.11
O00224,2024-08-02,C0913,P032,S011,1,156.0,20,124.8,39.35
O00225,2025-01-12,C0894,P152,S019,1,71.0,10,63.9,19.78
O00226,2024-10-12,C0148,P130,S001,5,69.0,0,345.0,76.34
O00227,2025-08-31,C1368,P156,S009,4,80.4,0,321.6,103.16
O00228,2024-12-13,C0618,P112,S013,4,136.0,15,462.4,125.77
O00229,2025-03-20,C0624,P125,S033,5,37.0,15,157.25,32.94
O00230,2024-08-14,C2348,P159,S012,5,75.0,0,375.0,74.6
O00231,2025-02-25,C0736,P057,S002,3,101.0,0,303.0,101.68
O00232,2024-03-07,C2693,P077,S009,4,156.0,10,561.6,130.42
O00233,2025-09-28,C1307,P034,S009,2,51.6,15,87.72,21.31
O00234,2025-08-19,C0180,P052,S009,5,44.0,10,198.0,49.61
O00235,2025-01-16,C0250,P074,S016,3,159.0,20,381.6,96.75
O00236,2024-02-26,C1304,P102,S011,2,146.0,5,277.4,66.47
O00237,2025-11-17,C0597,P097,S018,3,61.0,0,183.0,34.33
O00238,2025-11-13,C0309,P116,S023,2,79.0,5,150.1,44.24
O00239,2024-08-14,C0947,P001,S026,3,79.0,15,201.45,37.89
O00240,2025-12-05,C2800,P139,S023,5,112.0,5,532.0,128.04
O00241,2024-05-24,C0340,P154,S006,5,131.0,15,556.75,151.2
O00242,2025-11-14,C2428,P110,S019,4,81.0,15,275.4,59.29
O00243,2025-05-20,C2170,P023,S012,5,302.0,15,1283.5,577.58
O00244,2025-07-16,C0765,P067,S019,3,162.0,10,437.4,107.88
O00245,2025-08-11,C0638,P166,S010,2,304.0,10,547.2,246.24
O00246,2024-03-26,C2599,P030,S004,3,151.0,0,453.0,153.6
O00247,2024-09-17,C0274,P014,S003,4,57.0,10,205.2,49.82
O00248,2024-05-11,C1653,P065,S013,4,67.0,10,241.2,55.58
O00249,2025-07-09,C2625,P075,S015,3,75.0,5,213.75,69.23
O00250,2025-04-26,C1612,P136,S029,4,55.0,5,209.0,40.03
O00251,2025-12-18,C0464,P085,S023,4,134.0,0,536.0,157.06
O00252,2024-03-04,C2033,P089,S026,1,84.0,5,79.8,26.57
O00253,2025-07-23,C2432,P128,S017,5,570.0,5,2707.5,1218.38
O00254,2024-01-30,C1238,P068,S026,4,68.0,15,231.2,73.17
O00255,2025-06-11,C0764,P158,S010,1,497.0,20,397.6,178.92
O00256,2024-08-23,C2844,P072,S020,1,71.0,0,71.0,22.59
O00257,2025-01-12,C2623,P071,S015,2,123.0,0,246.0,80.99
O00258,2025-02-03,C2710,P082,S004,5,289.0,20,1156.0,520.2
O00259,2024-11-30,C2735,P146,S015,2,87.0,15,147.9,40.53
O00260,2025-01-30,C0399,P166,S005,3,304.0,0,912.0,410.4
O00261,2025-07-24,C1779,P150,S025,3,75.0,5,213.75,68.36
O00262,2024-08-29,C2184,P099,S019,3,145.2,15,370.26,81.83
O00263,2024-10-11,C1372,P041,S008,5,112.0,20,448.0,131.65
O00264,2025-12-14,C0253,P108,S026,3,69.6,10,187.92,47.29
O00265,2024-09-25,C1759,P174,S022,4,93.0,15,316.2,76.82
O00266,2024-04-04,C0016,P152,S035,3,71.0,0,213.0,39.67
O00267,2024-02-26,C1696,P110,S006,5,81.0,5,384.75,87.98
O00268,2025-02-22,C2231,P085,S029,3,134.0,0,402.0,85.3
O00269,2024-01-28,C1947,P137,S014,5,36.0,20,144.0,32.27
O00270,2024-08-10,C2381,P103,S027,4,77.0,10,277.2,69.03
O00271,2024-07-31,C1167,P034,S028,5,51.6,10,232.2,45.21
O00272,2024-12-04,C1344,P133,S028,2,168.0,0,336.0,77.3
O00273,2025-02-18,C1149,P175,S017,1,80.0,10,72.0,19.99
O00274,2024-07-25,C1932,P005,S028,1,153.0,0,153.0,51.91
O00275,2025-11-16,C1912,P126,S013,3,62.0,10,167.4,58.02
O00276,2024-03-19,C2160,P129,S031,5,61.2,5,290.7,81.49
O00277,2024-12-13,C0048,P105,S030,1,81.0,15,68.85,16.13
O00278,2024-06-07,C2141,P100,S034,3,345.6,15,881.28,396.58
O00279,2025-02-16,C0085,P156,S004,2,67.0,15,113.9,32.22
O00280,2024-03-22,C1614,P088,S028,3,170.0,0,510.0,121.69
O00281,2024-06-09,C1505,P070,S007,2,91.0,0,182.0,37.07
O00282,2024-05-21,C2873,P113,S008,3,91.0,15,232.05,63.33
O00283,2024-12-25,C2962,P010,S021,5,39.0,10,175.5,60.77
O00284,2024-11-13,C0813,P176,S001,1,63.6,20,50.88,16.17
O00285,2025-06-09,C1143,P069,S011,1,112.8,0,112.8,22.99
O00286,2024-02-06,C2025,P049,S017,2,120.0,10,216.0,46.52
O00287,2024-01-09,C1046,P092,S024,3,133.2,20,319.68,69.81
O00288,2024-02-22,C0354,P159,S010,3,75.0,5,213.75,45.35
O00289,2024-05-27,C0472,P092,S012,5,111.0,20,444.0,89.06
O00290,2024-10-27,C1683,P088,S010,5,170.0,15,722.5,230.41
O00291,2025-02-05,C2878,P013,S011,1,66.0,20,52.8,10.09
O00292,2024-06-06,C0571,P162,S027,3,160.0,15,408.0,94.8
O00293,2025-04-17,C2187,P171,S029,1,95.0,0,95.0,32.32
O00294,2025-12-29,C0930,P020,S006,1,96.0,5,91.2,31.3
O00295,2024-03-26,C2507,P009,S033,4,96.0,15,326.4,66.82
O00296,2024-10-15,C1905,P040,S035,1,147.0,15,124.95,24.18
O00297,2025-10-01,C1630,P016,S036,3,72.0,15,183.6,57.34
O00298,2025-12-15,C2301,P039,S011,2,703.2,15,1195.44,537.95
O00299,2025-05-03,C0781,P002,S006,1,88.8,15,75.48,16.23
O00300,2025-08-31,C2108,P118,S012,5,49.0,15,208.25,41.02
O00301,2025-12-04,C0597,P039,S018,3,703.2,0,2109.6,949.32
O00302,2024-11-11,C0157,P135,S033,4,127.0,20,406.4,81.75
O00303,2025-09-07,C0323,P120,S007,1,156.0,5,148.2,36.79
O00304,2025-08-20,C0171,P157,S027,1,78.0,0,78.0,19.2
O00305,2024-02-03,C1539,P134,S017,3,121.0,10,326.7,83.9
O00306,2024-11-13,C2195,P098,S023,1,101.0,15,85.85,26.17
O00307,2024-01-03,C2573,P011,S034,1,66.0,10,59.4,13.49
O00308,2025-03-28,C2487,P022,S002,4,50.4,20,161.28,39.47
O00309,2024-03-13,C0936,P142,S021,2,62.0,0,124.0,42.3
O00310,2024-05-29,C2237,P125,S026,1,37.0,0,37.0,12.13
O00311,2024-08-21,C0812,P151,S029,2,116.0,15,197.2,51.22
O00312,2024-01-13,C1422,P046,S019,4,166.8,10,600.48,166.51
O00313,2025-02-06,C0521,P024,S006,4,106.8,0,427.2,124.42
O00314,2024-12-31,C0877,P141,S030,2,154.0,15,261.8,73.59
O00315,2025-02-02,C0324,P135,S026,3,127.0,15,323.85,88.58
O00316,2025-10-17,C0523,P021,S032,5,84.0,10,378.0,124.41
O00317,2025-11-07,C0723,P165,S006,1,166.8,20,133.44,32.27
O00318,2024-10-14,C0763,P066,S029,4,126.0,15,428.4,77.93
O00319,2024-03-31,C2929,P122,S034,3,52.0,15,132.6,34.32
O00320,2024-12-02,C2756,P174,S025,2,93.0,15,158.1,50.74
O00321,2024-04-08,C2035,P128,S016,3,684.0,5,1949.4,877.23
O00322,2024-08-02,C2814,P048,S016,3,643.2,10,1736.64,781.49
O00323,2024-03-08,C0913,P020,S009,4,96.0,20,307.2,102.02
O00324,2024-06-11,C1276,P127,S021,1,348.0,0,348.0,156.6
O00325,2025-01-01,C2462,P148,S034,2,161.0,0,322.0,107.41
O00326,2025-08-08,C2385,P008,S016,4,342.0,5,1299.6,584.82
O00327,2025-12-10,C0952,P090,S023,5,251.0,5,1192.25,536.51
O00328,2025-09-19,C2858,P118,S013,5,49.0,10,220.5,54.12
O00329,2024-04-23,C1927,P098,S001,2,121.2,10,218.16,54.32
O00330,2024-08-26,C1122,P137,S001,1,36.0,0,36.0,12.57
O00331,2024-10-29,C2993,P048,S008,2,536.0,0,1072.0,482.4
O00332,2025-12-08,C1065,P153,S011,5,115.2,20,460.8,89.82
O00333,2025-12-08,C1796,P073,S033,1,98.4,5,93.48,31.04
O00334,2025-02-11,C2196,P023,S003,5,362.4,10,1630.8,733.86
O00335,2025-12-13,C1075,P011,S007,3,66.0,20,158.4,47.74
O00336,2025-05-27,C1715,P109,S013,2,167.0,0,334.0,79.64
O00337,2024-03-31,C1340,P024,S033,3,106.8,15,272.34,65.3
O00338,2024-09-06,C0552,P003,S029,3,38.0,5,108.3,24.94
O00339,2024-03-30,C0702,P004,S006,4,81.0,20,259.2,64.33
O00340,2025-02-13,C1794,P118,S024,2,49.0,0,98.0,19.06
O00341,2024-03-24,C2199,P061,S010,2,61.0,5,115.9,30.43
O00342,2024-11-24,C2967,P011,S013,2,66.0,5,125.4,31.37
O00343,2024-12-02,C0473,P015,S002,1,38.0,10,34.2,6.16
O00344,2025-07-03,C2044,P146,S032,3,104.4,15,266.22,82.58
O00345,2024-02-29,C2870,P078,S020,1,90.0,10,81.0,16.59
O00346,2025-09-19,C1416,P128,S028,2,570.0,15,969.0,436.05
O00347,2025-12-30,C0634,P102,S002,4,146.0,10,525.6,119.85
O00348,2025-03-09,C2524,P019,S014,2,108.0,15,183.6,36.02
O00349,2025-07-11,C1365,P063,S012,1,112.0,20,89.6,16.17
O00350,2025-06-24,C2215,P017,S013,2,170.0,5,323.0,94.14
O00351,2024-05-03,C2178,P166,S029,4,304.0,20,972.8,437.76
O00352,2025-10-17,C2974,P007,S029,3,76.8,5,218.88,44.18
O00353,2025-07-26,C1134,P008,S030,2,342.0,5,649.8,292.41
O00354,2024-06-03,C2558,P169,S016,4,55.2,15,187.68,45.87
O00355,2025-06-08,C1418,P069,S007,1,112.8,20,90.24,30.02
O00356,2024-10-18,C0979,P019,S022,4,108.0,5,410.4,134.96
O00357,2024-07-31,C2407,P126,S018,4,74.4,0,297.6,68.5
O00358,2024-02-17,C1044,P153,S006,4,96.0,15,326.4,74.81
O00359,2024-07-24,C1274,P031,S007,4,100.0,15,340.0,87.08
O00360,2024-08-22,C0118,P164,S005,2,158.4,15,269.28,91.31
O00361,2025-01-24,C1019,P069,S005,2,94.0,15,159.8,35.59
O00362,2025-11-22,C0807,P033,S030,4,116.0,20,371.2,128.55
O00363,2025-02-15,C0094,P153,S005,1,96.0,10,86.4,24.38
O00364,2025-01-02,C0523,P153,S017,3,96.0,15,244.8,52.41
O00365,2024-11-07,C0204,P165,S031,2,166.8,10,300.24,60.64
O00366,2024-02-21,C0118,P129,S029,2,61.2,10,110.16,25.23
O00367,2025-05-24,C1247,P043,S024,5,63.0,20,252.0,87.31
O00368,2024-11-21,C2502,P055,S008,3,84.0,20,201.6,54.0
O00369,2024-12-09,C2823,P153,S032,4,115.2,20,368.64,99.55
O00370,2025-01-31,C2431,P015,S033,4,38.0,0,152.0,32.58
O00371,2025-02-22,C0729,P014,S016,3,57.0,0,171.0,45.24
O00372,2024-04-27,C2212,P142,S024,4,74.4,20,238.08,45.11
O00373,2024-04-09,C1225,P044,S015,4,84.0,10,302.4,55.36
O00374,2024-12-02,C1373,P105,S016,3,81.0,5,230.85,54.86
